source_path,relative_path,file_name,file_type,size,last_modified,hash,detected_category,risk_classification,contains_code,contains_secret_pattern,migration_recommendation,target_ak_registry,quarantine_required,notes
D:\Alkasik\learning\datasets\market_patterns\patterns_config.json,datasets\market_patterns\patterns_config.json,patterns_config.json,json_data,246,2026-05-29T15:34:48.134046+00:00,99e1b7607d538780,MARKET_INTELLIGENCE,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\datasets\sandbox\memory_system_patterns.json,datasets\sandbox\memory_system_patterns.json,memory_system_patterns.json,json_data,799,2026-05-29T23:28:09.066799+00:00,ebdf147228dcd4a9,DATASET,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/dataset_registry,False,
D:\Alkasik\learning\datasets\sandbox\week2_sandbox_results.json,datasets\sandbox\week2_sandbox_results.json,week2_sandbox_results.json,json_data,1194,2026-05-29T16:00:25.774407+00:00,9faec151bf991675,DATASET,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/dataset_registry,False,
D:\Alkasik\learning\datasets\sandbox\week3_security_deepdive.json,datasets\sandbox\week3_security_deepdive.json,week3_security_deepdive.json,json_data,881,2026-05-29T23:18:16.865662+00:00,3672974a46612186,SECURITY_KNOWLEDGE,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\evolution\week5_activation.json,evolution\week5_activation.json,week5_activation.json,json_data,313,2026-05-29T23:40:55.567428+00:00,51674b75c31228eb,CAPABILITY,LOW,False,False,APPROVED_FOR_REVIEW,memory/capability_registry,False,
D:\Alkasik\learning\execution_adaptation\__init__.py,execution_adaptation\__init__.py,__init__.py,python_source,123,2026-05-31T04:29:09.156974+00:00,eccc57ba038b2616,TRADING_STRATEGY_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\execution_adaptation\execution_adapter.py,execution_adaptation\execution_adapter.py,execution_adapter.py,python_source,14031,2026-05-31T04:21:43.089310+00:00,7f24bcca7f3f102c,TRADING_STRATEGY_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\explainability\__init__.py,explainability\__init__.py,__init__.py,python_source,116,2026-05-31T04:29:20.314355+00:00,54e7f396d8d09fbb,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\explainability\explainability.py,explainability\explainability.py,explainability.py,python_source,21312,2026-05-31T04:23:38.792658+00:00,8ad472a833143e95,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\full_activation_report.md,full_activation_report.md,full_activation_report.md,markdown_document,2553,2026-05-29T23:51:39.907807+00:00,71ec2ea2800ee8bf,LESSON,LOW,False,False,APPROVED_FOR_REVIEW,memory/lesson_registry,False,
D:\Alkasik\learning\governance\anti_poisoning_rules.md,governance\anti_poisoning_rules.md,anti_poisoning_rules.md,markdown_document,1285,2026-05-29T16:01:06.509828+00:00,e48a23c985c6b353,GOVERNANCE,LOW,False,False,APPROVED_FOR_REVIEW,governance/registries,False,
D:\Alkasik\learning\governance\behavioral_patterns_helen.md,governance\behavioral_patterns_helen.md,behavioral_patterns_helen.md,markdown_document,933,2026-05-29T23:21:10.724914+00:00,71300a506da07903,GOVERNANCE,LOW,False,False,APPROVED_FOR_REVIEW,governance/registries,False,
D:\Alkasik\learning\governance\operator_safety_rules\initial_rules.yaml,governance\operator_safety_rules\initial_rules.yaml,initial_rules.yaml,yaml_config,992,2026-05-29T15:24:56.790198+00:00,7a58dcfa8afc7f93,SECURITY_KNOWLEDGE,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\governance\production_standards_sage.md,governance\production_standards_sage.md,production_standards_sage.md,markdown_document,1404,2026-05-29T23:18:28.334452+00:00,f717683d2a706d0e,GOVERNANCE,LOW,False,False,APPROVED_FOR_REVIEW,governance/registries,False,
D:\Alkasik\learning\governance\rules_engine\initial_rules.json,governance\rules_engine\initial_rules.json,initial_rules.json,json_data,1121,2026-05-29T15:22:38.288135+00:00,f51f771776f7025b,GOVERNANCE,LOW,False,False,APPROVED_FOR_REVIEW,governance/registries,False,
D:\Alkasik\learning\governance\safety_audit_checklist.md,governance\safety_audit_checklist.md,safety_audit_checklist.md,markdown_document,1209,2026-05-29T15:41:02.285019+00:00,e3d2d4198a3dbb51,SECURITY_KNOWLEDGE,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\inbox\internet\discovery_sources.txt,inbox\internet\discovery_sources.txt,discovery_sources.txt,text_file,1075,2026-05-29T15:30:51.759203+00:00,5ef8d1a0109a1a15,UNKNOWN,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\inbox\internet\week1_intake.json,inbox\internet\week1_intake.json,week1_intake.json,json_data,913,2026-05-29T15:38:44.760412+00:00,7599e2961564731f,UNKNOWN,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\internet\lessons\agent_architecture\arxiv_references.json,internet\lessons\agent_architecture\arxiv_references.json,arxiv_references.json,json_data,1055,2026-05-29T23:27:49.209358+00:00,2e40b4c7dfeca6f1,MEMORY,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\internet\metadata\priority_rankings.json,internet\metadata\priority_rankings.json,priority_rankings.json,json_data,2873,2026-06-04T06:13:52.346675+00:00,36451634d0e0e037,DATASET,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/dataset_registry,False,
D:\Alkasik\learning\liquidity_intelligence\__init__.py,liquidity_intelligence\__init__.py,__init__.py,python_source,214,2026-05-31T04:41:02.432823+00:00,bcc3957d06fcb39f,MARKET_INTELLIGENCE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\liquidity_intelligence\liquidity_intelligence.py,liquidity_intelligence\liquidity_intelligence.py,liquidity_intelligence.py,python_source,11381,2026-05-31T04:37:25.423916+00:00,79a006261c81bd92,MARKET_INTELLIGENCE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\memory_engine\__init__.py,memory_engine\__init__.py,__init__.py,python_source,137,2026-05-31T04:28:47.396240+00:00,79ad79dee36cbdc6,MEMORY,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\memory_engine\memory_engine.py,memory_engine\memory_engine.py,memory_engine.py,python_source,13720,2026-06-04T07:32:28.345703+00:00,6a439a4f85123a23,MEMORY,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\multi_timeframe_cognition\__init__.py,multi_timeframe_cognition\__init__.py,__init__.py,python_source,209,2026-05-31T04:41:24.435359+00:00,8f8c19d8b2f92cbb,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\multi_timeframe_cognition\multi_timeframe_cognition.py,multi_timeframe_cognition\multi_timeframe_cognition.py,multi_timeframe_cognition.py,python_source,7760,2026-05-31T04:38:52.939076+00:00,e4f3eb75e240a7d7,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\narrative_tracker\__init__.py,narrative_tracker\__init__.py,__init__.py,python_source,157,2026-05-31T04:41:14.739422+00:00,57c84e8c8eb5c971,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\narrative_tracker\narrative_tracker.py,narrative_tracker\narrative_tracker.py,narrative_tracker.py,python_source,8704,2026-05-31T04:38:04.439089+00:00,83733ab01c45c588,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\pattern_encoder\__init__.py,pattern_encoder\__init__.py,__init__.py,python_source,107,2026-05-31T04:28:39.689190+00:00,537bb72fea50b651,DECISION_TRACE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/decision_trace_registry,True,
D:\Alkasik\learning\pattern_encoder\pattern_encoder.py,pattern_encoder\pattern_encoder.py,pattern_encoder.py,python_source,16215,2026-05-31T04:27:05.306920+00:00,c1174c94bf179775,DECISION_TRACE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/decision_trace_registry,True,
D:\Alkasik\learning\processed\concepts_extracted.json,processed\concepts_extracted.json,concepts_extracted.json,json_data,2015,2026-06-04T06:13:52.346675+00:00,29541666ef3b939c,UNKNOWN,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\progress_tracker.md,progress_tracker.md,progress_tracker.md,markdown_document,7533,2026-05-29T23:29:34.359870+00:00,93189bf2ee4032f2,LESSON,LOW,False,False,APPROVED_FOR_REVIEW,memory/lesson_registry,False,
D:\Alkasik\learning\regime_classifier\__init__.py,regime_classifier\__init__.py,__init__.py,python_source,155,2026-05-31T04:29:44.680239+00:00,739bc44f93c6fdde,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\regime_classifier\regime_classifier.py,regime_classifier\regime_classifier.py,regime_classifier.py,python_source,14042,2026-05-31T04:29:34.800976+00:00,0737b18254b0143e,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\routing\rules_engine\initial_routing.json,routing\rules_engine\initial_routing.json,initial_routing.json,json_data,1093,2026-05-29T15:24:29.181725+00:00,88e265763f4a52fa,GOVERNANCE,LOW,False,False,APPROVED_FOR_REVIEW,governance/registries,False,
D:\Alkasik\learning\scheduler\adaptive_week3.md,scheduler\adaptive_week3.md,adaptive_week3.md,markdown_document,1089,2026-05-29T23:19:41.495480+00:00,fed834389c7dc9fd,INFRASTRUCTURE_KNOWLEDGE,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\scheduler\learning_schedule.json,scheduler\learning_schedule.json,learning_schedule.json,json_data,538,2026-05-29T15:35:13.087903+00:00,b096a5caf52d1adc,INFRASTRUCTURE_KNOWLEDGE,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\similarity_search\__init__.py,similarity_search\__init__.py,__init__.py,python_source,79,2026-05-31T04:28:52.921330+00:00,74054e49a88bc06b,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\similarity_search\similarity_search.py,similarity_search\similarity_search.py,similarity_search.py,python_source,9240,2026-05-31T04:28:16.189062+00:00,bf4d5e6317038900,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\structure_encoder\__init__.py,structure_encoder\__init__.py,__init__.py,python_source,161,2026-05-31T04:40:46.711861+00:00,c0935f4eb66727f5,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\structure_encoder\structure_encoder.py,structure_encoder\structure_encoder.py,structure_encoder.py,python_source,9730,2026-05-31T05:03:22.795361+00:00,0a639e276efc2a3f,ENGINEERING_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\structure_memory\__init__.py,structure_memory\__init__.py,__init__.py,python_source,140,2026-05-31T04:41:33.030589+00:00,c15d78e002a2a3e0,MEMORY,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\structure_memory\structure_memory.py,structure_memory\structure_memory.py,structure_memory.py,python_source,8595,2026-06-04T07:33:18.660147+00:00,249b9e2c91c46d64,MEMORY,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\system_status_report.md,system_status_report.md,system_status_report.md,markdown_document,3773,2026-05-29T23:41:58.538010+00:00,c6846279f9332264,LESSON,LOW,False,False,APPROVED_FOR_REVIEW,memory/lesson_registry,False,
D:\Alkasik\learning\week0_status_report.md,week0_status_report.md,week0_status_report.md,markdown_document,3193,2026-05-29T15:25:44.900836+00:00,453cb7476e6fbfa0,LESSON,LOW,False,False,APPROVED_FOR_REVIEW,memory/lesson_registry,False,
D:\Alkasik\learning\week1_completion_report.md,week1_completion_report.md,week1_completion_report.md,markdown_document,2723,2026-05-29T15:42:51.397864+00:00,a061f2d8cf4919cf,LESSON,LOW,False,False,APPROVED_FOR_REVIEW,memory/lesson_registry,False,
D:\Alkasik\learning\week1_execution_scripts.ps1,week1_execution_scripts.ps1,week1_execution_scripts.ps1,powershell_script,3115,2026-05-29T15:34:32.274834+00:00,41fef2619933b8eb,TRADING_STRATEGY_KNOWLEDGE,MEDIUM,True,False,QUARANTINE_IMPORT,memory/legacy_corpus/quarantine,True,
D:\Alkasik\learning\week1_hermes_tasks.md,week1_hermes_tasks.md,week1_hermes_tasks.md,markdown_document,2211,2026-05-29T15:38:11.087986+00:00,8117e84941ca379d,UNKNOWN,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\week1_initiation_log.md,week1_initiation_log.md,week1_initiation_log.md,markdown_document,3166,2026-05-29T15:33:29.666436+00:00,cd2697498282889d,UNKNOWN,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\week2_completion_report.md,week2_completion_report.md,week2_completion_report.md,markdown_document,2321,2026-05-29T16:04:21.265764+00:00,4629ba0a392f30b8,LESSON,LOW,False,False,APPROVED_FOR_REVIEW,memory/lesson_registry,False,
D:\Alkasik\learning\week3_completion_report.md,week3_completion_report.md,week3_completion_report.md,markdown_document,2672,2026-05-29T23:21:40.499449+00:00,e34977bd2a293aac,LESSON,LOW,False,False,APPROVED_FOR_REVIEW,memory/lesson_registry,False,
D:\Alkasik\learning\week4_completion_report.md,week4_completion_report.md,week4_completion_report.md,markdown_document,2768,2026-05-29T23:30:06.462461+00:00,f417f2a189dbf0c1,LESSON,LOW,False,False,APPROVED_FOR_REVIEW,memory/lesson_registry,False,
D:\Alkasik\learning\week4_tasks.md,week4_tasks.md,week4_tasks.md,markdown_document,1601,2026-05-29T23:29:03.901175+00:00,cd23ed5761d62629,UNKNOWN,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
D:\Alkasik\learning\week5_autonomous_activation.md,week5_autonomous_activation.md,week5_autonomous_activation.md,markdown_document,2592,2026-05-29T23:40:36.601732+00:00,3072b5a33a22a715,UNKNOWN,LOW,False,False,REQUIRES_SAGE_REVIEW,memory/legacy_corpus/quarantine,False,
